index    U_ins  U_ierr   U_std  U_serr   B_ins  B_ierr   B_std  B_serr   V_ins  V_ierr   V_std  V_serr   I_ins  I_ierr   I_std  I_serr
   403 11.4907  0.0022 14.7684  0.0063 11.8683  0.0023 14.4106  0.0036 10.7947  0.0021 13.8315  0.0026 11.8903  0.0030 13.1407  0.0041
   408 10.7311  0.0014 14.0502  0.0036 11.2523  0.0022 13.8703  0.0025 10.4965  0.0018 13.5350  0.0022 11.8928  0.0027 13.1303  0.0042
   452 12.2028  0.0033 15.5402  0.0121 12.5286  0.0035 15.0698  0.0060 11.1498  0.0020 14.1942  0.0033 11.9793  0.0035 13.2206  0.0043
   454 11.7690  0.0028 15.1091  0.0084 12.3395  0.0033 14.8941  0.0052 11.1128  0.0023 14.1967  0.0034 11.9883  0.0029 13.2566  0.0045
   474 11.7401  0.0024 15.0615  0.0080 12.3221  0.0031 14.8504  0.0050 11.1190  0.0021 14.1563  0.0032 12.0263  0.0029 13.2532  0.0044
   475 11.1196  0.0020 14.4354  0.0049 11.6140  0.0024 14.2001  0.0031 10.7624  0.0042 13.7840  0.0026 12.0263  0.0032 13.2702  0.0045
   506 11.4474  0.0021 14.7609  0.0064 11.9849  0.0024 14.5645  0.0040 11.0064  0.0018 14.0413  0.0031 12.0964  0.0034 13.3456  0.0049
   508 11.3651  0.0020 14.6881  0.0058 11.8463  0.0024 14.4332  0.0036 10.9335  0.0016 13.9747  0.0029 12.1009  0.0037 13.3654  0.0048
   529 12.1958  0.0086 15.3606  0.0102 12.6363  0.0079 15.1560  0.0064 11.2940  0.0042 14.3371  0.0036 12.0689  0.0109 13.4032  0.0050
   532 11.7396  0.0027 15.0231  0.0081 12.2743  0.0041 14.8299  0.0050 11.1419  0.0030 14.1720  0.0033 12.1522  0.0075 13.3504  0.0048
   539 11.4010  0.0025 14.7310  0.0062 11.8763  0.0027 14.4412  0.0036 10.9630  0.0017 13.9937  0.0029 12.1593  0.0031 13.3977  0.0048
   551 12.0578  0.0029 15.3807  0.0105 12.5750  0.0031 15.1175  0.0062 11.3264  0.0031 14.3673  0.0038 12.1785  0.0035 13.4194  0.0051
   561 11.9901  0.0028 15.3044  0.0099 12.5557  0.0054 15.0668  0.0059 11.3355  0.0035 14.3572  0.0037 12.1916  0.0068 13.4304  0.0051
   565 11.9553  0.0026 15.2824  0.0098 12.5120  0.0040 15.0473  0.0058 11.3077  0.0027 14.3523  0.0037 12.1944  0.0098 13.4236  0.0050
